Főváros / megye;Település;Szavazókör;Szavazókör címe;
BUDAPEST;Budapest XVIII.ker.;037;Kondor Béla sétány 10. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;038;Kondor Béla sétány 10. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;039;Kondor Béla sétány 10. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;040;Darus utca 3. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;041;Darus utca 3. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;042;Vándor Sándor utca 7. (Bölcsõde);
BUDAPEST;Budapest XVIII.ker.;043;Tövishát utca 8. (Ált.isk.);
BUDAPEST;Budapest XVIII.ker.;044;Tövishát utca 8. (Ált.isk.);
BUDAPEST;Budapest XVIII.ker.;045;Városház utca 1-3. (Mûv.Ház);
BUDAPEST;Budapest XVIII.ker.;046;Wlassics Gyula utca 69. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;047;Petõfi utca 5. (Óvoda);
BUDAPEST;Budapest XVIII.ker.;048;Wlassics Gyula utca 69. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;049;Wlassics Gyula utca 69. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;050;Petõfi utca 5. (Óvoda);
BUDAPEST;Budapest XVIII.ker.;051;Dráva utca 34/B. (Óvoda);
BUDAPEST;Budapest XVIII.ker.;052;Brassó utca 1. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;053;Marosvásárhely utca 6-8. (ÉNO);
BUDAPEST;Budapest XVIII.ker.;054;Brassó utca 1. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;055;Brassó utca 1. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;056;Halomi út 113/A. (Óvoda);
BUDAPEST;Budapest XVIII.ker.;057;Kandó tér 1. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;058;Kandó tér 1. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;059;Kandó tér 1. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;060;Kandó tér 1. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;061;Bükk utca 8. (Bölcsõde);
BUDAPEST;Budapest XVIII.ker.;062;Nemes utca 56-60. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;063;Nemes utca 56-60. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;064;Kapocs utca 56. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;065;Kapocs utca 56. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;066;Ady Endre utca 127. (Óvoda);
BUDAPEST;Budapest XVIII.ker.;067;Ady Endre utca 127. (Óvoda);
BUDAPEST;Budapest XVIII.ker.;068;Ady Endre utca 127. (Óvoda);
BUDAPEST;Budapest XVIII.ker.;069;Ady Endre utca 46-48. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;070;Ady Endre utca 46-48. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;071;Ady Endre utca 46-48. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;072;Táncsics Mihály utca 53. (Ált.isk.);
BUDAPEST;Budapest XVIII.ker.;073;Eke utca 16. (Óvoda);
BUDAPEST;Budapest XVIII.ker.;074;Táncsics Mihály utca 53. (Ált.isk.);
BUDAPEST;Budapest XVIII.ker.;075;Nagykõrösi út 55-57. (Ált.Isk.);
BUDAPEST;Budapest XVIII.ker.;076;Nagykõrösi út 55-57. (Ált.Isk.);
BUDAPEST;Budapest XIX.ker.;001;Berzsenyi u. 8. (Kispesti Puskás Ferenc Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;002;Eötvös u. 13. (Kispesti Eötvös József Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;003;Eötvös u. 13. (Kispesti Eötvös József Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;004;Eötvös u. 13.( Kispesti Eötvös József Ált. Isk. );
BUDAPEST;Budapest XIX.ker.;005;Teleki u. 50.( KMO);
BUDAPEST;Budapest XIX.ker.;006;Csokonai u. 9.( Kispesti Vass Lajos Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;007;Csokonai u. 9.( Kispesti Vass Lajos Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;008;Csokonai u. 9.( Kispesti Vass Lajos Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;009;Vécsey u.13. (Kispesti Waldorf Óvoda, Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;010;Csokonai u. 9.( Kispesti Vass Lajos Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;011;Csokonai u. 9. (Kispesti Vass Lajos Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;012;Vécsey u. 13. (Kispesti Waldorf Óvoda, Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;013;Vécsey u. 13. (Kispesti Waldorf Óvoda, Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;014;Berzsenyi u. 8.( Kispesti Puskás Ferenc Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;015;Berzsenyi u. 8.( Kispesti Puskás Ferenc Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;016;Berzsenyi u. 8.( Kispesti Puskás Ferenc Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;017;Dobó Katica u. 18. (Forrásház);
BUDAPEST;Budapest XIX.ker.;018;Dobó Katica u. 18.( Forrásház);
BUDAPEST;Budapest XIX.ker.;019;Dobó Katica u. 18.( Forrásház );
BUDAPEST;Budapest XIX.ker.;020;Fõ u. 22.( Kispesti Vigadó);
BUDAPEST;Budapest XIX.ker.;021;Fõ u. 22. (Kispesti Vigadó);Átjelentkezõk és településszintû lakosok részére kijelölt
BUDAPEST;Budapest XIX.ker.;022;Árpád u. 14. (Kispesti Bolyai János Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;023;Árpád u. 14. (Kispesti Bolyai János Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;024;Árpád u. 14. (Kispesti Bolyai János Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;025;Árpád u. 14. (Kispesti Bolyai János Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;026;Árpád u. 14. (Kispesti Bolyai János Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;027;Zrínyi u. 6. (Kispesti Gyöngykagyló Óvoda);
BUDAPEST;Budapest XIX.ker.;028;Zrínyi u. 6. (Kispesti Gyöngykagyló Óvoda);
BUDAPEST;Budapest XIX.ker.;029;Zrínyi u. 6. (Kispesti Gyöngykagyló Óvoda);
BUDAPEST;Budapest XIX.ker.;030;Ady Endre út 73-75. (Kispesti Ady Endre Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;031;Pannónia út 12. (Kispesti Pannónia Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;032;Pannónia út 12. (Kispesti Pannónia Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;033;Pannónia út 12. (Kispesti Pannónia Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;034;Hungária út 11. (Kispesti Erkel Ferenc Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;035;Gutenberg krt. 6. (Kispesti Deák Ferenc Gimn.);
BUDAPEST;Budapest XIX.ker.;036;Hungária út 28. (Kispesti Kós Károly Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;037;Hungária út 28. (Kispesti Kós Károly Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;038;Hungária út 36. (Hungária Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;039;Hungária út 36. (Hungária Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;040;Gutenberg krt. 6. (Kispesti Deák Ferenc Gimn.);
BUDAPEST;Budapest XIX.ker.;041;Gutenberg krt. 6. (Kispesti Deák Ferenc Gimn.);
BUDAPEST;Budapest XIX.ker.;042;Gutenberg krt. 6. (Kispesti Deák Ferenc Gimn.);
BUDAPEST;Budapest XIX.ker.;043;Petõfi u. 56. (Reménység Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;044;Petõfi u. 56. (Reménység Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;045;Petõfi u. 56. (Reménység Ált.  Isk.);
BUDAPEST;Budapest XIX.ker.;046;Ady Endre út 73-75. (Kispesti Ady Endre  Ált. Isk);
BUDAPEST;Budapest XIX.ker.;047;Szegfû u. 10. (Jeriko Gimn. és Szki.);
BUDAPEST;Budapest XIX.ker.;048;Szegfû u. 10. (Jeriko Gimn. és Szki.);
BUDAPEST;Budapest XIX.ker.;049;Szegfû u. 10. (Jeriko Gimn. és Szki.);
BUDAPEST;Budapest XIX.ker.;050;Fõ u. 143. (Kispesti Gábor Áron Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;051;Fõ u. 143. (Kispesti Gábor Áron Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;052;Nádasdy u. 98. (Kispesti Gábor Áron Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;053;Nádasdy u. 98. (Kispesti Gábor Áron Ált. Isk.);
BUDAPEST;Budapest XIX.ker.;054;Csengõ u. 1-3. (Semmelweis Ignác Szki. és Gimn.);
BUDAPEST;Budapest XIX.ker.;055;Katona József u. 2. (Sportpálya, KAC);
BUDAPEST;Budapest XIX.ker.;056;Kelet u. 8. (Kispesti Mézeskalács Óvoda);
BUDAPEST;Budapest XIX.ker.;057;Beszterce u. 6. (Kispesti Mézeskalács Óvoda);
BUDAPEST;Budapest XIX.ker.;058;Beszterce u. 6. (Kispesti Mézeskalács Óvoda);
BUDAPEST;Budapest XX.ker.;001;Serény utca 1. (Iskola);
BUDAPEST;Budapest XX.ker.;002;Serény utca 1. (Iskola);
BUDAPEST;Budapest XX.ker.;003;Bíró Mihály  utca 1. (Óvoda);
BUDAPEST;Budapest XX.ker.;004;János utca 4. (Iskola);
BUDAPEST;Budapest XX.ker.;005;János utca 4. (Iskola);
BUDAPEST;Budapest XX.ker.;006;János utca 4. (Iskola);
BUDAPEST;Budapest XX.ker.;007;János utca 4. (Iskola);
BUDAPEST;Budapest XX.ker.;008;Bíró Mihály utca 1. (Óvoda);
BUDAPEST;Budapest XX.ker.;009;Bíró Mihály utca 1. (Óvoda);
BUDAPEST;Budapest XX.ker.;010;Lajtha László utca 7. (Iskola);
BUDAPEST;Budapest XX.ker.;011;Lajtha László utca 7. (Iskola);Átjelentkezõk és településszintû lakosok részére kijelölt
BUDAPEST;Budapest XX.ker.;012;Lajtha László utca 7. (Iskola);
BUDAPEST;Budapest XX.ker.;013;Ady Endre utca 98. (Iskola);
BUDAPEST;Budapest XX.ker.;014;Kálmán utca 15. (Iskola);
BUDAPEST;Budapest XX.ker.;015;Tátra tér 1. (Iskola);
BUDAPEST;Budapest XX.ker.;016;Kálmán utca 15. (Iskola);
BUDAPEST;Budapest XX.ker.;017;Kálmán utca 15. (Iskola);
BUDAPEST;Budapest XX.ker.;018;Rákóczi  utca 82-84. (Óvoda);
BUDAPEST;Budapest XX.ker.;019;Rákóczi utca 82-84. (Óvoda);
BUDAPEST;Budapest XX.ker.;020;Mártírok útja 47. (Iskola);
BUDAPEST;Budapest XX.ker.;021;Mártírok útja 47. (Iskola);
BUDAPEST;Budapest XX.ker.;022;Mártonffy utca 76-84. (Óvoda);
BUDAPEST;Budapest XX.ker.;023;Mártonffy utca 76-84. (Óvoda);
BUDAPEST;Budapest XX.ker.;024;Tátra tér 1. (Iskola);
BUDAPEST;Budapest XX.ker.;025;Tátra tér 1. (Iskola);
BUDAPEST;Budapest XX.ker.;026;Ady Endre utca 98. (Iskola);
BUDAPEST;Budapest XX.ker.;027;Ady Endre utca 98. (Iskola);
BUDAPEST;Budapest XX.ker.;028;Ady Endre utca 98. (Iskola);
BUDAPEST;Budapest XX.ker.;029;Ady Endre utca 98. (Iskola);
BUDAPEST;Budapest XX.ker.;030;Ady Endre utca 98. (Iskola);
BUDAPEST;Budapest XX.ker.;031;Ady Endre utca 98. (Iskola);
BUDAPEST;Budapest XX.ker.;032;Ady Endre utca 98. (Iskola);
BUDAPEST;Budapest XX.ker.;033;Attila utca 25-27. (Iskola);
BUDAPEST;Budapest XX.ker.;034;Ady Endre utca 142. (Iskola);
BUDAPEST;Budapest XX.ker.;035;Ady Endre utca 142. (Iskola);
BUDAPEST;Budapest XX.ker.;036;Attila utca 25-27. (Iskola);
BUDAPEST;Budapest XX.ker.;037;Vörösmarty utca 128. (Iskola);
BUDAPEST;Budapest XX.ker.;038;Lázár utca 20. (Iskola);
BUDAPEST;Budapest XX.ker.;039;Lázár utca 20. (Iskola);
BUDAPEST;Budapest XX.ker.;040;Köztársaság tér 1. (Óvoda);
BUDAPEST;Budapest XX.ker.;041;Köztársaság tér 1. (Óvoda);
BUDAPEST;Budapest XX.ker.;042;Lázár utca 20. (Iskola);
BUDAPEST;Budapest XX.ker.;043;Lázár utca 20. (Iskola);
BUDAPEST;Budapest XX.ker.;044;Lázár utca 20. (Iskola);
BUDAPEST;Budapest XX.ker.;045;Lázár utca 20. (Iskola);
BUDAPEST;Budapest XX.ker.;046;Mártírok útja 205. (Iskola);
BUDAPEST;Budapest XX.ker.;047;Mártírok útja 205. (Iskola);
BUDAPEST;Budapest XX.ker.;048;Mártírok útja 205. (Iskola);
BUDAPEST;Budapest XX.ker.;049;Mártírok útja 205. (Iskola);
BUDAPEST;Budapest XX.ker.;050;Mártírok útja 205. (Iskola);
BUDAPEST;Budapest XX.ker.;051;Mártírok útja 205. (Iskola);
BUDAPEST;Budapest XX.ker.;052;Magyarok Nagyasszonya tér 22. (Iskola);
BUDAPEST;Budapest XX.ker.;053;Magyarok Nagyasszonya tér 22. (Iskola);
BUDAPEST;Budapest XX.ker.;054;Magyarok Nagyasszonya tér 22. (Iskola);
BUDAPEST;Budapest XX.ker.;055;Magyarok Nagyasszonya tér 22. (Iskola);
BUDAPEST;Budapest XX.ker.;056;Magyarok Nagyasszonya tér 22. (Iskola);
BUDAPEST;Budapest XX.ker.;057;Magyarok Nagyasszonya tér 22. (Iskola);
BUDAPEST;Budapest XX.ker.;058;Vörösmarty utca 128. (Iskola);
BUDAPEST;Budapest XX.ker.;059;Vörösmarty utca 128. (Iskola);
BUDAPEST;Budapest XX.ker.;060;Vörösmarty utca 128. (Iskola);
BUDAPEST;Budapest XX.ker.;061;Vörösmarty utca 128. (Iskola);
BUDAPEST;Budapest XXI.ker.;001;Szárcsa u.9-11. (Szárcsa  Ált.Iskola);
BUDAPEST;Budapest XXI.ker.;002;Szent István út 230. (Királyerdei Mûv.Ház.);
BUDAPEST;Budapest XXI.ker.;003;Szent István út 230. (Királyerdei Mûv.Ház );
BUDAPEST;Budapest XXI.ker.;004;Szent István út 230. (Királyerdei Mûv.Ház);
BUDAPEST;Budapest XXI.ker.;005;Szent István út 230. (Királyerdei Múv.Ház);
BUDAPEST;Budapest XXI.ker.;006;Szárcsa u.9-11. (Szárcsa  Ált.Iskola);
BUDAPEST;Budapest XXI.ker.;007;Szárcsa u.9-11. (Szárcsa  Ált.Iskola);
BUDAPEST;Budapest XXI.ker.;008;Szent István út 232. (Eötvös József Ált.Isk.);
BUDAPEST;Budapest XXI.ker.;009;Szent István út 232. (Eötvös József Ált.Isk.);
BUDAPEST;Budapest XXI.ker.;010;Szent István út 232. (Eötvös József Ált.Isk.);
BUDAPEST;Budapest XXI.ker.;011;Szent László u.84. (Kék Ált.Iskola);
BUDAPEST;Budapest XXI.ker.;012;Szent László u.84. (Kék Ált.Iskola);
BUDAPEST;Budapest XXI.ker.;013;Szent László u.84. (Kék Ált.Iskola);
BUDAPEST;Budapest XXI.ker.;014;Szent István út 230. (Királyerdei Mûv.Ház);
BUDAPEST;Budapest XXI.ker.;015;Szent István út 230. (Királyerdei Mûv.Ház);
BUDAPEST;Budapest XXI.ker.;016;Szent István út 230. (Királyerdei Mûv.Ház);
BUDAPEST;Budapest XXI.ker.;017;Hollandi u.8. (Ifjúsági Tábor ebédlõ);
BUDAPEST;Budapest XXI.ker.;018;Széchenyi u.93. (Gr.Széchenyi I. Ált.Isk.);
BUDAPEST;Budapest XXI.ker.;019;Rákóczi tér 34. (Rákóczi Kert);
BUDAPEST;Budapest XXI.ker.;020;Kolozsvári u.61-65. (Mátyás Király Ált.Isk.);
BUDAPEST;Budapest XXI.ker.;021;Táncsics M.u.92. (Jedlik Ányos Gimnázium);
BUDAPEST;Budapest XXI.ker.;022;Táncsics M.u.92. (Jedlik Ányos Gimnázium);
BUDAPEST;Budapest XXI.ker.;023;Széchenyi u.93. (Gr.Széchenyi I. Ált.Isk.);
BUDAPEST;Budapest XXI.ker.;024;Széchenyi u.93. (Gr.Széchenyi I. Ált.Isk.);
BUDAPEST;Budapest XXI.ker.;025;Széchenyi u.93. (Gr.Széchenyi I. Ált.Isk.);
BUDAPEST;Budapest XXI.ker.;026;Katona J.u.60. (Katona József Ált.Iskola);
BUDAPEST;Budapest XXI.ker.;027;Táncsics M.u.69. (Humán Szolg. Igazg.);
BUDAPEST;Budapest XXI.ker.;028;Kiss János Atb.10-12. (Nevelési Tanácsadó);
BUDAPEST;Budapest XXI.ker.;029;Ady Endre út 61-63. (Magyar Vöröskereszt);
BUDAPEST;Budapest XXI.ker.;030;Csete B.u. 6-8. (Csete Balázs Középiskola);
BUDAPEST;Budapest XXI.ker.;031;Csete B.u. 1-11. (Lajtha László Ált.Iskola);
BUDAPEST;Budapest XXI.ker.;032;Kiss János Atb.u. 10-12. (Hétszínvirág Óvoda);
BUDAPEST;Budapest XXI.ker.;033;Csete B.u. 6-8. (Csete Balázs Középiskola);
BUDAPEST;Budapest XXI.ker.;034;Ady Endre út 61-63. (Magyar Vöröskereszt);
BUDAPEST;Budapest XXI.ker.;035;Kossuth L.u.12. (Kossuth L. Szakközépiskola);
BUDAPEST;Budapest XXI.ker.;036;Kossuth L.u.12. (Kossuth L. Szakközépiskola);
BUDAPEST;Budapest XXI.ker.;037;II.Rákóczi F.u.88-90. (Volt Általános Iskola);
BUDAPEST;Budapest XXI.ker.;038;II.Rákóczi F.u.88-90. (Volt Általános Iskola);Átjelentkezõk és településszintû lakosok részére kijelölt
BUDAPEST;Budapest XXI.ker.;039;II.Rákóczi F.u.106. (Karácsony Sándor Ált. Isk.);
BUDAPEST;Budapest XXI.ker.;040;Táncsics M.u.69. (Humán Szolg. Igazg.);
BUDAPEST;Budapest XXI.ker.;041;Posztógyár u. 4. (óvoda);
BUDAPEST;Budapest XXI.ker.;042;Posztógyár u. 4. (óvoda);
BUDAPEST;Budapest XXI.ker.;043;II.Rákóczi F.u.106. (Karácsony Sándor Ált. Isk.);
BUDAPEST;Budapest XXI.ker.;044;Táncsics M.u.92. (Jedlik Ányos Gimnázium);
BUDAPEST;Budapest XXI.ker.;045;Táncsics M.u.92. (Jedlik Ányos Gimnázium);
BUDAPEST;Budapest XXI.ker.;046;Posztógyár u. 4. (óvoda);
BUDAPEST;Budapest XXI.ker.;047;Kossuth Lajos u. 140. (Gyermeksziget tagóvoda);
BUDAPEST;Budapest XXI.ker.;048;Kolozsvári u.61-65.  (Mátyás Király Ált.Isk.);
BUDAPEST;Budapest XXI.ker.;049;dr.Koncz János tér 1.(Herman Ottó Ált.Iskola);
BUDAPEST;Budapest XXI.ker.;050;dr.Koncz János tér 1. (Herman Ottó Ált.Iskola);
BUDAPEST;Budapest XXI.ker.;051;Simon B. sétány 4-8. (Nagy Imre ÁMK);
BUDAPEST;Budapest XXI.ker.;052;Simon B. sétány 4-8. (Nagy Imre ÁMK);
BUDAPEST;Budapest XXI.ker.;053;Simon B. sétány 4-8. (Nagy Imre ÁMK );
BUDAPEST;Budapest XXI.ker.;054;dr.Koncz János tér 1. (Herman Ottó Ált.Iskola);
BUDAPEST;Budapest XXI.ker.;055;Tejút u.2. (Vermes Miklós Ált.Iskola);
BUDAPEST;Budapest XXI.ker.;056;Vénusz u.2. (Radnóti Miklós Mûv.Ház);
BUDAPEST;Budapest XXI.ker.;057;Iskola tér 45. (Kölcsey Ferenc Ált.Iskola);
BUDAPEST;Budapest XXI.ker.;058;Erdõsor utca 110-112. (óvoda);
BUDAPEST;Budapest XXI.ker.;059;Erdõsor utca 110-112. (óvoda);
BUDAPEST;Budapest XXI.ker.;060;Erdõsor utca 110-112. (óvoda);
BUDAPEST;Budapest XXI.ker.;061;Erdõsor utca 110-112. (óvoda);
BUDAPEST;Budapest XXI.ker.;062;Tejút u.10. (Móra Ferenc Ált.Iskola);
BUDAPEST;Budapest XXI.ker.;063;Tejút u.12. (Fodor József Eü.Szakközépiskola);
BUDAPEST;Budapest XXI.ker.;064;Tejút u.2. (Vermes Miklós Ált.Iskola);
BUDAPEST;Budapest XXI.ker.;065;II.Rákóczi F.út 345. (Vizmûvek Zrt.);
BUDAPEST;Budapest XXI.ker.;066;Simon B. sétány 4-8. (Nagy Imre ÁMK);
BUDAPEST;Budapest XXI.ker.;067;Tejút u.2. (Vermes Miklós Ált.Iskola);
BUDAPEST;Budapest XXI.ker.;068;Vénusz u.2. (Radnóti Miklós Mûv.Ház);
BUDAPEST;Budapest XXI.ker.;069;Erdõsor utca 110-112. (óvoda);
BUDAPEST;Budapest XXI.ker.;070;Simon B. sétány 4-8. (Nagy Imre ÁMK);
BUDAPEST;Budapest XXII.ker.;001;Tompa utca 2-4. (Kolonics György Általános Iskola);
BUDAPEST;Budapest XXII.ker.;002;Tompa utca 2-4. (Kolonics György Általános Iskola);
BUDAPEST;Budapest XXII.ker.;003;Tompa utca 2-4. (Kolonics György Általános Iskola);
BUDAPEST;Budapest XXII.ker.;004;Kápolna utca 2-4. (Kozmutza Általános Iskola);
BUDAPEST;Budapest XXII.ker.;005;Anna utca 13-15. (BNA Gimnázium);
BUDAPEST;Budapest XXII.ker.;006;Tompa utca 2-4. (Kolonics György Általános Iskola);
BUDAPEST;Budapest XXII.ker.;007;Anna utca 13-15. (BNA Gimnázium);
BUDAPEST;Budapest XXII.ker.;008;Anna utca 13-15. (BNA Gimnázium);
BUDAPEST;Budapest XXII.ker.;009;Szent István tér 1. (Nádasdy Általános Iskola);
BUDAPEST;Budapest XXII.ker.;010;Szent István tér 1. (Nádasdy Általános Iskola);Átjelentkezõk és településszintû lakosok részére kijelölt
BUDAPEST;Budapest XXII.ker.;011;Dózsa György út 84-94. (Baross Általános Iskola);
BUDAPEST;Budapest XXII.ker.;012;Gádor utca 101-105. (Gádor Általános Iskola);
BUDAPEST;Budapest XXII.ker.;013;Árpád utca 2. (Árpád Utcai Általános Iskola);
BUDAPEST;Budapest XXII.ker.;014;Ják utca 44-46. (Zöldecske Tagóvoda);
BUDAPEST;Budapest XXII.ker.;015;Árpád utca 2. (Árpád Utcai Általános Iskola);
BUDAPEST;Budapest XXII.ker.;016;Dózsa György út 84-94. (Baross Általános Iskola);
BUDAPEST;Budapest XXII.ker.;017;Árpád utca 2. (Árpád Utcai Általános Iskola);
BUDAPEST;Budapest XXII.ker.;018;Árpád utca 2. (Árpád Utcai Általános Iskola);
BUDAPEST;Budapest XXII.ker.;019;Kápolna utca 2-4. (Kozmutza Általános Iskola);
BUDAPEST;Budapest XXII.ker.;020;Gádor utca 101-105. (Gádor Általános Iskola);
BUDAPEST;Budapest XXII.ker.;021;Gádor utca 101-105. (Gádor Általános Iskola);
BUDAPEST;Budapest XXII.ker.;022;Gádor utca 101-105. (Gádor Általános Iskola);
BUDAPEST;Budapest XXII.ker.;023;Pannónia utca 50. (Herman Ottó Általános Iskola);
BUDAPEST;Budapest XXII.ker.;024;Dózsa György út 84-94. (Baross Általános Iskola);
BUDAPEST;Budapest XXII.ker.;025;Pannónia utca 50. (Herman Ottó Általános Iskola);
BUDAPEST;Budapest XXII.ker.;026;Dózsa György út 84-94. (Baross Általános Iskola);
BUDAPEST;Budapest XXII.ker.;027;Dévény utca 62. (Herman Ottó Általános Iskola);
BUDAPEST;Budapest XXII.ker.;028;Közgazdász utca 9-11. (Kempelen Farkas Gimnázium);
BUDAPEST;Budapest XXII.ker.;029;Közgazdász utca 9-11. (Kempelen Farkas Gimnázium);
BUDAPEST;Budapest XXII.ker.;030;Bartók Béla út 6. (Bartók Általános Iskola);
BUDAPEST;Budapest XXII.ker.;031;Bartók Béla út 6. (Bartók Általános Iskola);
BUDAPEST;Budapest XXII.ker.;032;Rákóczi út 16. (Rózsakerti Általános Iskola);
BUDAPEST;Budapest XXII.ker.;033;Bartók Béla út 6. (Bartók Általános Iskola);
BUDAPEST;Budapest XXII.ker.;034;Dózsa György út 84-94. (Baross Általános Iskola);
BUDAPEST;Budapest XXII.ker.;035;Nagytétényi út 291. (Hugonnai Általános Iskola);
BUDAPEST;Budapest XXII.ker.;036;Bartók Béla út 6. (Bartók Általános Iskola);
BUDAPEST;Budapest XXII.ker.;037;Nagytétényi út 291. (Hugonnai Általános Iskola);
BUDAPEST;Budapest XXIII.ker.;001;Nyír utca 22. fsz. 1. (Fekete István Ált. Isk.);
BUDAPEST;Budapest XXIII.ker.;002;Nyír utca 22. fsz. 2. (Fekete István Ált. Isk.);
BUDAPEST;Budapest XXIII.ker.;003;Nyír utca 22. fsz. 3. (Fekete István Ált. Isk.);
BUDAPEST;Budapest XXIII.ker.;004;Dinnyehegyi köz 2. fsz. 10. (Török Flóris Ált.Isk);
BUDAPEST;Budapest XXIII.ker.;005;Dinnyehegyi köz 2. fsz.11.  (Török Flóris Ált.Isk.;
BUDAPEST;Budapest XXIII.ker.;006;Dinnyehegyi köz 2. fsz.13. (Török Flóris Ált.Isk.);
BUDAPEST;Budapest XXIII.ker.;007;Nyír utca 22. Ebédlõ (Fekete István Ált. Isk.);
BUDAPEST;Budapest XXIII.ker.;008;Csillag utca 1. Fogl. terem 1. (Óvoda);
BUDAPEST;Budapest XXIII.ker.;009;Csillag utca 1. Fogl. terem 2. (Óvoda);
BUDAPEST;Budapest XXIII.ker.;010;Rézöntõ utca 24. Fogl. terem 1. (Óvoda);
BUDAPEST;Budapest XXIII.ker.;011;Rézöntõ utca 24. Fogl. terem 2. (Óvoda);
BUDAPEST;Budapest XXIII.ker.;012;Templom utca 10. Fogl. terem 1. (Óvoda);
BUDAPEST;Budapest XXIII.ker.;013;Táncsics M. utca 25-33. fsz. 17. (Páneurópa Isk.);
BUDAPEST;Budapest XXIII.ker.;014;Táncsics M. utca 25-33. fsz. 18. (Páneurópa Isk.);
BUDAPEST;Budapest XXIII.ker.;015;Hõsök tere 18-20. fsz. 2. (Grassalkovich A. Isk.);
BUDAPEST;Budapest XXIII.ker.;016;Hõsök tere 18-20. fsz. 1. (Grassalkovich A. Isk.);Átjelentkezõk és településszintû lakosok részére kijelölt
BUDAPEST;Budapest XXIII.ker.;017;Szitás utca 99. Fogl. terem 1. (Óvoda);
BUDAPEST;Budapest XXIII.ker.;018;Szitás utca 99. Fogl. terem 2. (Óvoda);
BUDAPEST;Budapest XXIII.ker.;019;Templom utca 167. Fogl. terem 1. (Óvoda);
BUDAPEST;Budapest XXIII.ker.;020;Templom utca 167. Fogl. terem 2. (Óvoda);
BUDAPEST;Budapest XXIII.ker.;021;Sodronyos utca 28. fsz. 20. (Mikszáth K. Ált.Isk.);
BUDAPEST;Budapest XXIII.ker.;022;Sodronyos utca 28. fsz. 21. (Mikszáth K. Ált.Isk.);
BUDAPEST;Budapest XXIII.ker.;023;Sodronyos utca 28. fsz. 22. (Mikszáth K. Ált.Isk.);
BUDAPEST;Budapest XXIII.ker.;024;Dél utca 2. (Irodaépület);
