Főváros / megye;Település;Szavazókör;Szavazókör címe;Szélességi fok; Hosszúsági fok
BUDAPEST;Budapest II. ker.;27;Budapest, Pasaréti út 191, 1026 Hungary;47,528216;18,9860311
BUDAPEST;Budapest II. ker.;28;Budapest, Pasaréti út 191, 1026 Hungary;47,528216;18,9860311
BUDAPEST;Budapest II. ker.;29;Budapest, Hűvösvölgyi út 12b, 1021 Hungary;47,519359;18,993251
BUDAPEST;Budapest II. ker.;30;Budapest, Hűvösvölgyi út 12b, 1021 Hungary;47,519359;18,993251
BUDAPEST;Budapest II. ker.;31;Budapest, Pasaréti út 191, 1026 Hungary;47,528216;18,9860311
BUDAPEST;Budapest II. ker.;32;Budapest, Pasaréti út 191, 1026 Hungary;47,528216;18,9860311
BUDAPEST;Budapest II. ker.;33;Budapest, Völgy u. 1, 1021 Hungary;47,5323313;18,9805952
BUDAPEST;Budapest II. ker.;34;Budapest, Völgy u. 1, 1021 Hungary;47,5323313;18,9805952
BUDAPEST;Budapest II. ker.;35;Budapest, Máriaremetei út 71, 1028 Hungary;47,5476069;18,9542449
BUDAPEST;Budapest II. ker.;36;Budapest, Kossuth Lajos u. 15, 1028 Hungary;47,5537242;18,9609866
BUDAPEST;Budapest II. ker.;37;Budapest, Kossuth Lajos u. 15, 1028 Hungary;47,5537242;18,9609866
BUDAPEST;Budapest II. ker.;38;Budapest, Kossuth Lajos u. 15, 1028 Hungary;47,5537242;18,9609866
BUDAPEST;Budapest II. ker.;39;Budapest, Templom u. 2, 1028 Hungary;47,5655016;18,9602003
BUDAPEST;Budapest II. ker.;40;Budapest, Templom u. 2, 1028 Hungary;47,5655016;18,9602003
BUDAPEST;Budapest II. ker.;41;Budapest, Templom u. 2, 1028 Hungary;47,5655016;18,9602003
BUDAPEST;Budapest II. ker.;42;Budapest, József Attila útja 68, 1029 Hungary;47,568496;18,940743
BUDAPEST;Budapest II. ker.;43;Budapest, Hímes u. 3, 1029 Hungary;47,561411;18,943721
BUDAPEST;Budapest II. ker.;44;Budapest, Szabadság u. 23, 1028 Hungary;47,561889;18,9597631
BUDAPEST;Budapest II. ker.;45;Budapest, Máriaremetei út 185, 1029 Hungary;47,5602368;18,9479207
BUDAPEST;Budapest II. ker.;46;Budapest, Szabadság u. 23, 1028 Hungary;47,561889;18,9597631
BUDAPEST;Budapest II. ker.;47;Budapest, Máriaremetei út 185, 1029 Hungary;47,5602368;18,9479207
BUDAPEST;Budapest II. ker.;48;Budapest, Máriaremetei út 71, 1028 Hungary;47,5476069;18,9542449
BUDAPEST;Budapest II. ker.;49;Budapest, Kútföldi u. 1, 1029 Hungary;47,5475791;18,9385176
BUDAPEST;Budapest II. ker.;50;Budapest, Labanc út 2, 1021 Hungary;47,5181477;18,9910853
BUDAPEST;Budapest II. ker.;51;Budapest, Budenz út 20-22, 1021 Hungary;47,520274;18,987806
BUDAPEST;Budapest II. ker.;52;Budapest, Budenz út 20-22, 1021 Hungary;47,520274;18,987806
BUDAPEST;Budapest II. ker.;53;Budapest, Budenz út 20-22, 1021 Hungary;47,520274;18,987806
BUDAPEST;Budapest II. ker.;54;Budapest, Budenz út 20-22, 1021 Hungary;47,520274;18,987806
BUDAPEST;Budapest II. ker.;55;Budapest, Pasaréti út 41, 1026 Hungary;47,5157631;19,00523
BUDAPEST;Budapest II. ker.;56;Budapest, Érmelléki u. 12, 1026 Hungary;47,5111419;19,0174997
BUDAPEST;Budapest II. ker.;57;Budapest, Érmelléki u. 12, 1026 Hungary;47,5111419;19,0174997
BUDAPEST;Budapest II. ker.;58;Budapest, Marczibányi tér 1, 1022 Hungary;47,5116415;19,0222562
BUDAPEST;Budapest II. ker.;59;Budapest, Marczibányi tér 1, 1022 Hungary;47,5116415;19,0222562
BUDAPEST;Budapest II. ker.;60;Budapest, Marczibányi tér 1, 1022 Hungary;47,5116415;19,0222562
BUDAPEST;Budapest II. ker.;61;Budapest, Keleti Károly u. 37, 1024 Hungary;47,5127949;19,0251611
BUDAPEST;Budapest II. ker.;62;Budapest, Keleti Károly u. 37, 1024 Hungary;47,5127949;19,0251611
BUDAPEST;Budapest II. ker.;63;Budapest, Keleti Károly u. 37, 1024 Hungary;47,5127949;19,0251611
BUDAPEST;Budapest II. ker.;64;Budapest, Ady Endre u. 3, 1024 Hungary;47,514424;19,029343
BUDAPEST;Budapest II. ker.;65;Budapest, Ady Endre u. 3, 1024 Hungary;47,514424;19,029343
BUDAPEST;Budapest II. ker.;66;Budapest, Bem József tér 2, 1027 Hungary;47,512473;19,0383579
BUDAPEST;Budapest II. ker.;67;Budapest, Medve u. 5, 1027 Hungary;47,508614;19,03577
BUDAPEST;Budapest II. ker.;68;Budapest, Medve u. 5, 1027 Hungary;47,508614;19,03577
BUDAPEST;Budapest II. ker.;69;Budapest, Ady Endre u. 3, 1024 Hungary;47,514424;19,029343
BUDAPEST;Budapest II. ker.;70;Budapest, Kapás u. 55, 1027 Hungary;47,5111454;19,0336135
BUDAPEST;Budapest II. ker.;71;Budapest, Medve u. 5, 1027 Hungary;47,508614;19,03577
BUDAPEST;Budapest II. ker.;72;Budapest, Varsányi Irén u. 32, 1027 Hungary;47,5089794;19,0302287
BUDAPEST;Budapest II. ker.;73;Budapest, Varsányi Irén u. 32, 1027 Hungary;47,5089794;19,0302287
BUDAPEST;Budapest III. ker.;1;Budapest, Árpád Fejedelem útja 60, 1036 Hungary;47,5301485;19,0411196
BUDAPEST;Budapest III. ker.;2;Budapest, Árpád Fejedelem útja 60, 1036 Hungary;47,5301485;19,0411196
BUDAPEST;Budapest III. ker.;3;Budapest, Mókus u. 2, 1036 Hungary;47,5370854;19,0433678
BUDAPEST;Budapest III. ker.;4;Budapest, Nagyszombat u. 19, 1034 Hungary;47,53263;19,0377699
BUDAPEST;Budapest III. ker.;5;Budapest, Nagyszombat u. 19, 1034 Hungary;47,53263;19,0377699
BUDAPEST;Budapest III. ker.;6;Budapest, Nagyszombat u. 19, 1034 Hungary;47,53263;19,0377699
BUDAPEST;Budapest III. ker.;7;Budapest, Kiscelli u. 78-80, 1032 Hungary;47,5385857;19,0335621
BUDAPEST;Budapest III. ker.;8;Budapest, Kiscelli u. 78-80, 1032 Hungary;47,5385857;19,0335621
BUDAPEST;Budapest III. ker.;9;Budapest, Kiscelli u. 78-80, 1032 Hungary;47,5385857;19,0335621
BUDAPEST;Budapest III. ker.;10;Budapest, Nagyszombat u. 19, 1034 Hungary;47,53263;19,0377699
BUDAPEST;Budapest III. ker.;11;Budapest, Bécsi út 96b, 1034 Hungary;47,5339826;19,0346773
BUDAPEST;Budapest III. ker.;12;Budapest, Bécsi út 96b, 1034 Hungary;47,5339826;19,0346773
BUDAPEST;Budapest III. ker.;13;Budapest, Bécsi út 96b, 1034 Hungary;47,5339826;19,0346773
BUDAPEST;Budapest III. ker.;14;Budapest, Erdőalja út 5, 1037 Hungary;47,5503574;19,0161939
BUDAPEST;Budapest III. ker.;15;Budapest, Erdőalja út 5, 1037 Hungary;47,5503574;19,0161939
BUDAPEST;Budapest III. ker.;16;Budapest, Erdőalja út 5, 1037 Hungary;47,5503574;19,0161939
BUDAPEST;Budapest III. ker.;17;Budapest, Erdőalja út 5, 1037 Hungary;47,5503574;19,0161939
BUDAPEST;Budapest III. ker.;18;Budapest, Bécsi út 375, 1037 Hungary;47,572455;19,016921
BUDAPEST;Budapest III. ker.;19;Budapest, Bécsi út 375, 1037 Hungary;47,572455;19,016921
BUDAPEST;Budapest III. ker.;20;Budapest, Bécsi út 375, 1037 Hungary;47,572455;19,016921
BUDAPEST;Budapest III. ker.;21;Budapest, Bécsi út 375, 1037 Hungary;47,572455;19,016921
BUDAPEST;Budapest III. ker.;22;Budapest, Bécsi út 375, 1037 Hungary;47,572455;19,016921
BUDAPEST;Budapest III. ker.;23;Budapest, Ürömi út 2, 1038 Hungary;47,586032;19,0443129
BUDAPEST;Budapest III. ker.;24;Budapest, Ürömi út 2, 1038 Hungary;47,586032;19,0443129
BUDAPEST;Budapest III. ker.;25;Budapest, Ürömi út 2, 1038 Hungary;47,586032;19,0443129
BUDAPEST;Budapest III. ker.;26;Budapest, Dózsa György u. 42, 1038 Hungary;47,5923742;19,0459441
BUDAPEST;Budapest III. ker.;27;Budapest, Dózsa György u. 42, 1038 Hungary;47,5923742;19,0459441
BUDAPEST;Budapest III. ker.;28;Budapest, Dózsa György u. 42, 1038 Hungary;47,5923742;19,0459441
BUDAPEST;Budapest III. ker.;29;Budapest, Templom u. 5, 1038 Hungary;47,6009279;19,0460713
BUDAPEST;Budapest III. ker.;30;Budapest, Templom u. 5, 1038 Hungary;47,6009279;19,0460713
BUDAPEST;Budapest III. ker.;31;Budapest, Mókus u. 2, 1036 Hungary;47,5370854;19,0433678
BUDAPEST;Budapest III. ker.;32;Budapest, Mókus u. 2, 1036 Hungary;47,5370854;19,0433678
BUDAPEST;Budapest III. ker.;33;Budapest, Mókus u. 2, 1036 Hungary;47,5370854;19,0433678
BUDAPEST;Budapest III. ker.;34;Budapest, Zápor u. 90, 1032 Hungary;47,5425407;19,0347263
BUDAPEST;Budapest III. ker.;35;Budapest, Zápor u. 90, 1032 Hungary;47,5425407;19,0347263
BUDAPEST;Budapest III. ker.;36;Budapest, Zápor u. 90, 1032 Hungary;47,5425407;19,0347263
BUDAPEST;Budapest III. ker.;37;Budapest, Zápor u. 90, 1032 Hungary;47,5425407;19,0347263
BUDAPEST;Budapest III. ker.;38;Budapest, Váradi u. 15b, 1035 Hungary;47,5448133;19,0312982
BUDAPEST;Budapest III. ker.;39;Budapest, Váradi u. 15b, 1035 Hungary;47,5448133;19,0312982
BUDAPEST;Budapest III. ker.;40;Budapest, Váradi u. 15b, 1035 Hungary;47,5448133;19,0312982
BUDAPEST;Budapest III. ker.;41;Budapest, Váradi u. 15b, 1035 Hungary;47,5448133;19,0312982
BUDAPEST;Budapest III. ker.;42;Budapest, Harrer Pál u. 7, 1033 Hungary;47,5431359;19,045087
BUDAPEST;Budapest III. ker.;43;Budapest, Harrer Pál u. 7, 1033 Hungary;47,5431359;19,045087
BUDAPEST;Budapest III. ker.;44;Budapest, Harrer Pál u. 7, 1033 Hungary;47,5431359;19,045087
BUDAPEST;Budapest III. ker.;45;Budapest, Szentendrei út 9, 1035 Hungary;47,5459199;19,043149
BUDAPEST;Budapest III. ker.;46;Budapest, Szentendrei út 9, 1035 Hungary;47,5459199;19,043149
BUDAPEST;Budapest III. ker.;47;Budapest, Gázgyári ltp., 1031 Hungary;47,5639648;19,0524418
BUDAPEST;Budapest III. ker.;48;Budapest, Kerék u. 18-20, 1035 Hungary;47,5463285;19,0405029
BUDAPEST;Budapest III. ker.;49;Budapest, Szél u. 11-13, 1035 Hungary;47,5451383;19,0396387
BUDAPEST;Budapest III. ker.;50;Budapest, Kerék u. 18-20, 1035 Hungary;47,5463285;19,0405029
BUDAPEST;Budapest III. ker.;51;Budapest, Kerék u. 18-20, 1035 Hungary;47,5463285;19,0405029
BUDAPEST;Budapest III. ker.;52;Budapest, Vörösvári út 93, 1033 Hungary;47,5462922;19,0333221
BUDAPEST;Budapest III. ker.;53;Budapest, Meggyfa u. 14, 1033 Hungary;47,5492062;19,0375134
BUDAPEST;Budapest III. ker.;54;Budapest, Kerék u. 18-20, 1035 Hungary;47,5463285;19,0405029
BUDAPEST;Budapest III. ker.;55;Budapest, Kerék u. 18-20, 1035 Hungary;47,5463285;19,0405029
BUDAPEST;Budapest III. ker.;56;Budapest, Kerék u. 18-20, 1035 Hungary;47,5463285;19,0405029
BUDAPEST;Budapest III. ker.;57;Budapest, Szellő u. 9-11, 1035 Hungary;47,5481185;19,0388967
BUDAPEST;Budapest III. ker.;58;Budapest, Meggyfa u. 14, 1033 Hungary;47,5492062;19,0375134
BUDAPEST;Budapest III. ker.;59;Budapest, Szellő u. 9-11, 1035 Hungary;47,5481185;19,0388967
BUDAPEST;Budapest III. ker.;60;Budapest, Semper Studio Felnőttek Gimnáziuma, Szérűskert u. 40, 1033 Hungary;47,5586273;19,0433611
BUDAPEST;Budapest III. ker.;61;Budapest, Semper Studio Felnőttek Gimnáziuma, Szérűskert u. 40, 1033 Hungary;47,5586273;19,0433611
BUDAPEST;Budapest III. ker.;62;Budapest, Semper Studio Felnőttek Gimnáziuma, Szérűskert u. 40, 1033 Hungary;47,5586273;19,0433611
BUDAPEST;Budapest III. ker.;63;Budapest, Semper Studio Felnőttek Gimnáziuma, Szérűskert u. 40, 1033 Hungary;47,5586273;19,0433611
BUDAPEST;Budapest III. ker.;64;Budapest, Semper Studio Felnőttek Gimnáziuma, Szérűskert u. 40, 1033 Hungary;47,5586273;19,0433611
BUDAPEST;Budapest III. ker.;65;Budapest, Semper Studio Felnőttek Gimnáziuma, Szérűskert u. 40, 1033 Hungary;47,5586273;19,0433611
BUDAPEST;Budapest III. ker.;66;Budapest, Gyógyszergyár u. 22-24, 1037 Hungary;47,5553318;19,028469
BUDAPEST;Budapest III. ker.;67;Budapest, Gyógyszergyár u. 22-24, 1037 Hungary;47,5553318;19,028469
BUDAPEST;Budapest III. ker.;68;Budapest, Keve u. 41, 1031 Hungary;47,574896;19,058032
BUDAPEST;Budapest III. ker.;69;Budapest, Arató Emil tér 1, 1031 Hungary;47,5702114;19,0554344
BUDAPEST;Budapest III. ker.;70;Budapest, Arató Emil tér 1, 1031 Hungary;47,5702114;19,0554344
BUDAPEST;Budapest III. ker.;71;Budapest, Arató Emil tér 1, 1031 Hungary;47,5702114;19,0554344
BUDAPEST;Budapest III. ker.;72;Budapest, Arató Emil tér 1, 1031 Hungary;47,5702114;19,0554344
BUDAPEST;Budapest III. ker.;73;Budapest, Arató Emil tér 1, 1031 Hungary;47,5702114;19,0554344
BUDAPEST;Budapest III. ker.;74;Budapest, Arató Emil tér 1, 1031 Hungary;47,5702114;19,0554344
BUDAPEST;Budapest III. ker.;75;Budapest, Arató Emil tér 1, 1031 Hungary;47,5702114;19,0554344
BUDAPEST;Budapest III. ker.;76;Budapest, Arató Emil tér 1, 1031 Hungary;47,5702114;19,0554344
BUDAPEST;Budapest III. ker.;77;Budapest, Arató Emil tér 1, 1031 Hungary;47,5702114;19,0554344
BUDAPEST;Budapest III. ker.;78;Budapest, Keve u. 41, 1031 Hungary;47,574896;19,058032
BUDAPEST;Budapest III. ker.;79;Budapest, Kalászi u. 5, 1031 Hungary;47,5777683;19,0559484
BUDAPEST;Budapest III. ker.;80;Budapest, Kalászi u. 5, 1031 Hungary;47,5777683;19,0559484
BUDAPEST;Budapest III. ker.;81;Budapest, Kalászi u. 5, 1031 Hungary;47,5777683;19,0559484
BUDAPEST;Budapest III. ker.;82;Budapest, Fodros u. 38-40, 1039 Hungary;47,5887028;19,0544702
BUDAPEST;Budapest III. ker.;83;Budapest, Fodros u. 38-40, 1039 Hungary;47,5887028;19,0544702
BUDAPEST;Budapest III. ker.;84;Budapest, Királyok útja 178, 1039 Hungary;47,590159;19,065307
BUDAPEST;Budapest III. ker.;85;Budapest, Királyok útja 178, 1039 Hungary;47,590159;19,065307
BUDAPEST;Budapest III. ker.;86;Budapest, Medgyessy Ferenc u. 2-4, 1039 Hungary;47,5960947;19,0573796
BUDAPEST;Budapest III. ker.;87;Budapest, Medgyessy Ferenc u. 2-4, 1039 Hungary;47,5960947;19,0573796
BUDAPEST;Budapest III. ker.;88;Budapest, Medgyessy Ferenc u. 2-4, 1039 Hungary;47,5960947;19,0573796
BUDAPEST;Budapest III. ker.;89;Budapest, Medgyessy Ferenc u. 2-4, 1039 Hungary;47,5960947;19,0573796
BUDAPEST;Budapest III. ker.;90;Budapest, Medgyessy Ferenc u. 2-4, 1039 Hungary;47,5960947;19,0573796
BUDAPEST;Budapest III. ker.;91;Budapest, Zipernovszky Károly u. 3, 1039 Hungary;47,599217;19,062371
BUDAPEST;Budapest III. ker.;92;Budapest, Zipernovszky Károly u. 3, 1039 Hungary;47,599217;19,062371
BUDAPEST;Budapest III. ker.;93;Budapest, Zipernovszky Károly u. 3, 1039 Hungary;47,599217;19,062371
BUDAPEST;Budapest III. ker.;94;Budapest, Zipernovszky Károly u. 3, 1039 Hungary;47,599217;19,062371
BUDAPEST;Budapest III. ker.;95;Budapest, Zipernovszky Károly u. 3, 1039 Hungary;47,599217;19,062371
BUDAPEST;Budapest III. ker.;96;Budapest, Zipernovszky Károly u. 3, 1039 Hungary;47,599217;19,062371
BUDAPEST;Budapest III. ker.;97;Budapest, Zipernovszky Károly u. 3, 1039 Hungary;47,599217;19,062371
BUDAPEST;Budapest III. ker.;98;Budapest, Zipernovszky Károly u. 3, 1039 Hungary;47,599217;19,062371
BUDAPEST;Budapest III. ker.;99;Budapest, Zipernovszky Károly u. 3, 1039 Hungary;47,599217;19,062371
BUDAPEST;Budapest III. ker.;100;Budapest, Zipernovszky Károly u. 3, 1039 Hungary;47,599217;19,062371
BUDAPEST;Budapest III. ker.;101;Budapest, Bárczi Géza u. 2, 1039 Hungary;47,5950914;19,0473294
BUDAPEST;Budapest III. ker.;102;Budapest, Bárczi Géza u. 2, 1039 Hungary;47,5950914;19,0473294
BUDAPEST;Budapest III. ker.;103;Budapest, Bárczi Géza u. 2, 1039 Hungary;47,5950914;19,0473294
BUDAPEST;Budapest III. ker.;104;Budapest, Bárczi Géza u. 2, 1039 Hungary;47,5950914;19,0473294
BUDAPEST;Budapest III. ker.;105;Budapest, Bárczi Géza u. 2, 1039 Hungary;47,5950914;19,0473294
BUDAPEST;Budapest III. ker.;106;Budapest, Bárczi Géza u. 2, 1039 Hungary;47,5950914;19,0473294
BUDAPEST;Budapest III. ker.;107;Budapest, Pais Dezső u. 1-3, 1039 Hungary;47,6012399;19,0497035
BUDAPEST;Budapest III. ker.;108;Budapest, Pais Dezső u. 1-3, 1039 Hungary;47,6012399;19,0497035
BUDAPEST;Budapest III. ker.;109;Budapest, Pais Dezső u. 1-3, 1039 Hungary;47,6012399;19,0497035
BUDAPEST;Budapest III. ker.;110;Budapest, Pais Dezső u. 1-3, 1039 Hungary;47,6012399;19,0497035
BUDAPEST;Budapest III. ker.;111;Budapest, Pais Dezső u. 1-3, 1039 Hungary;47,6012399;19,0497035
BUDAPEST;Budapest III. ker.;112;Budapest, Pais Dezső u. 1-3, 1039 Hungary;47,6012399;19,0497035
BUDAPEST;Budapest IV. ker.;1;Budapest, Megyeri út 20, 1044 Hungary;47,5805246;19,0884
BUDAPEST;Budapest IV. ker.;2;Budapest, Homoktövis Általános Iskola, Homoktövis u. 100, 1048 Hungary;47,5974437;19,1156034
BUDAPEST;Budapest IV. ker.;3;Budapest, Homoktövis Általános Iskola, Homoktövis u. 100, 1048 Hungary;47,5974437;19,1156034
BUDAPEST;Budapest IV. ker.;4;Budapest, Homoktövis Általános Iskola, Homoktövis u. 100, 1048 Hungary;47,5974437;19,1156034
BUDAPEST;Budapest IV. ker.;5;Budapest, Homoktövis Általános Iskola, Homoktövis u. 100, 1048 Hungary;47,5974437;19,1156034
BUDAPEST;Budapest IV. ker.;6;Budapest, Homoktövis Általános Iskola, Homoktövis u. 100, 1048 Hungary;47,5974437;19,1156034
BUDAPEST;Budapest IV. ker.;7;Budapest, Homoktövis Általános Iskola, Homoktövis u. 100, 1048 Hungary;47,5974437;19,1156034
BUDAPEST;Budapest IV. ker.;8;Budapest, Bőrfestő u. 5, 1048 Hungary;47,588738;19,1156559
BUDAPEST;Budapest IV. ker.;9;Budapest, Bőrfestő u. 5, 1048 Hungary;47,588738;19,1156559
BUDAPEST;Budapest IV. ker.;10;Budapest, Bőrfestő u. 5, 1048 Hungary;47,588738;19,1156559
BUDAPEST;Budapest IV. ker.;11;Budapest, Tóth Aladár u. 16-18, 1048 Hungary;47,58276;19,108018
BUDAPEST;Budapest IV. ker.;12;Budapest, Tóth Aladár u. 16-18, 1048 Hungary;47,58276;19,108018
BUDAPEST;Budapest IV. ker.;13;Budapest, Bőrfestő u. 5, 1048 Hungary;47,588738;19,1156559
BUDAPEST;Budapest IV. ker.;14;Budapest, Megyeri út 20, 1044 Hungary;47,5805246;19,0884
BUDAPEST;Budapest IV. ker.;15;Budapest, Megyeri út 20, 1044 Hungary;47,5805246;19,0884
BUDAPEST;Budapest IV. ker.;16;Budapest, Megyeri út 20, 1044 Hungary;47,5805246;19,0884
BUDAPEST;Budapest IV. ker.;17;Budapest, Megyeri út 20, 1044 Hungary;47,5805246;19,0884
BUDAPEST;Budapest IV. ker.;18;Budapest, Fóti út 66, 1046 Hungary;47,573597;19,1017982
BUDAPEST;Budapest IV. ker.;19;Budapest, Hajló u. 2, 1048 Hungary;47,58115;19,108934
BUDAPEST;Budapest IV. ker.;20;Budapest, Tóth Aladár u. 16-18, 1048 Hungary;47,58276;19,108018
BUDAPEST;Budapest IV. ker.;21;Budapest, Hajló u. 2, 1048 Hungary;47,58115;19,108934
BUDAPEST;Budapest IV. ker.;22;Budapest, Hajló u. 2, 1048 Hungary;47,58115;19,108934
BUDAPEST;Budapest IV. ker.;23;Budapest, Hajló u. 2, 1048 Hungary;47,58115;19,108934
BUDAPEST;Budapest IV. ker.;24;Budapest, Hajló u. 2, 1048 Hungary;47,58115;19,108934
BUDAPEST;Budapest IV. ker.;25;Budapest, Hajló u. 2, 1048 Hungary;47,58115;19,108934
BUDAPEST;Budapest IV. ker.;26;Budapest, Megyeri út 20, 1044 Hungary;47,5805246;19,0884
BUDAPEST;Budapest IV. ker.;27;Budapest, Megyeri út 20, 1044 Hungary;47,5805246;19,0884
BUDAPEST;Budapest IV. ker.;28;Budapest, Fóti út 66, 1046 Hungary;47,573597;19,1017982
BUDAPEST;Budapest IV. ker.;29;Budapest, Fóti út 66, 1046 Hungary;47,573597;19,1017982
BUDAPEST;Budapest IV. ker.;30;Budapest, Fóti út 66, 1046 Hungary;47,573597;19,1017982
BUDAPEST;Budapest IV. ker.;31;Budapest, Fóti út 66, 1046 Hungary;47,573597;19,1017982
BUDAPEST;Budapest IV. ker.;32;Budapest, Megyeri út 20, 1044 Hungary;47,5805246;19,0884
BUDAPEST;Budapest IV. ker.;33;Budapest, Fóti út 66, 1046 Hungary;47,573597;19,1017982
BUDAPEST;Budapest IV. ker.;34;Budapest, Fóti út 66, 1046 Hungary;47,573597;19,1017982
BUDAPEST;Budapest IV. ker.;35;Budapest, Langlet Waldemár u. 3, 1047 Hungary;47,5667359;19,0834574
BUDAPEST;Budapest IV. ker.;36;Budapest, Langlet Waldemár u. 3, 1047 Hungary;47,5667359;19,0834574
BUDAPEST;Budapest IV. ker.;37;Budapest, Bajza József Általános Iskola, Bajza József u. 2, 1046 Hungary;47,567634;19,0996309
