ID;Főváros / megye;Település;Szavazókör;Szavazókör címe;Szélességi fok; Hosszúsági fok
54;BUDAPEST;Budapest II. ker.;35;Budapest, Máriaremetei út 71, 1028 Hungary;47,5476069;18,9542449
55;BUDAPEST;Budapest II. ker.;36;Budapest, Kossuth Lajos u. 15, 1028 Hungary;47,5537242;18,9609866
56;BUDAPEST;Budapest II. ker.;37;Budapest, Kossuth Lajos u. 15, 1028 Hungary;47,5537242;18,9609866
57;BUDAPEST;Budapest II. ker.;38;Budapest, Kossuth Lajos u. 15, 1028 Hungary;47,5537242;18,9609866
58;BUDAPEST;Budapest II. ker.;39;Budapest, Templom u. 2, 1028 Hungary;47,5655016;18,9602003
59;BUDAPEST;Budapest II. ker.;40;Budapest, Templom u. 2, 1028 Hungary;47,5655016;18,9602003
60;BUDAPEST;Budapest II. ker.;41;Budapest, Templom u. 2, 1028 Hungary;47,5655016;18,9602003
61;BUDAPEST;Budapest II. ker.;42;Budapest, József Attila útja 68, 1029 Hungary;47,568496;18,940743
62;BUDAPEST;Budapest II. ker.;43;Budapest, Hímes u. 3, 1029 Hungary;47,561411;18,943721
63;BUDAPEST;Budapest II. ker.;44;Budapest, Szabadság u. 23, 1028 Hungary;47,561889;18,9597631
64;BUDAPEST;Budapest II. ker.;45;Budapest, Máriaremetei út 185, 1029 Hungary;47,5602368;18,9479207
65;BUDAPEST;Budapest II. ker.;46;Budapest, Szabadság u. 23, 1028 Hungary;47,561889;18,9597631
66;BUDAPEST;Budapest II. ker.;47;Budapest, Máriaremetei út 185, 1029 Hungary;47,5602368;18,9479207
67;BUDAPEST;Budapest II. ker.;48;Budapest, Máriaremetei út 71, 1028 Hungary;47,5476069;18,9542449
68;BUDAPEST;Budapest II. ker.;49;Budapest, Kútföldi u. 1, 1029 Hungary;47,5475791;18,9385176
69;BUDAPEST;Budapest II. ker.;50;Budapest, Labanc út 2, 1021 Hungary;47,5181477;18,9910853
70;BUDAPEST;Budapest II. ker.;51;Budapest, Budenz út 20-22, 1021 Hungary;47,520274;18,987806
71;BUDAPEST;Budapest II. ker.;52;Budapest, Budenz út 20-22, 1021 Hungary;47,520274;18,987806
72;BUDAPEST;Budapest II. ker.;53;Budapest, Budenz út 20-22, 1021 Hungary;47,520274;18,987806
73;BUDAPEST;Budapest II. ker.;54;Budapest, Budenz út 20-22, 1021 Hungary;47,520274;18,987806
74;BUDAPEST;Budapest II. ker.;55;Budapest, Pasaréti út 41, 1026 Hungary;47,5157631;19,00523
75;BUDAPEST;Budapest II. ker.;56;Budapest, Érmelléki u. 12, 1026 Hungary;47,5111419;19,0174997
76;BUDAPEST;Budapest II. ker.;57;Budapest, Érmelléki u. 12, 1026 Hungary;47,5111419;19,0174997
77;BUDAPEST;Budapest II. ker.;58;Budapest, Marczibányi tér 1, 1022 Hungary;47,5116415;19,0222562
78;BUDAPEST;Budapest II. ker.;59;Budapest, Marczibányi tér 1, 1022 Hungary;47,5116415;19,0222562
79;BUDAPEST;Budapest II. ker.;60;Budapest, Marczibányi tér 1, 1022 Hungary;47,5116415;19,0222562
80;BUDAPEST;Budapest II. ker.;61;Budapest, Keleti Károly u. 37, 1024 Hungary;47,5127949;19,0251611
81;BUDAPEST;Budapest II. ker.;62;Budapest, Keleti Károly u. 37, 1024 Hungary;47,5127949;19,0251611
82;BUDAPEST;Budapest II. ker.;63;Budapest, Keleti Károly u. 37, 1024 Hungary;47,5127949;19,0251611
83;BUDAPEST;Budapest II. ker.;64;Budapest, Ady Endre u. 3, 1024 Hungary;47,514424;19,029343
84;BUDAPEST;Budapest II. ker.;65;Budapest, Ady Endre u. 3, 1024 Hungary;47,514424;19,029343
