választókerület;szavazókör;Fidesz-KDNP;Összefogás;Jobbik;LMP;megjelent;összes választó;Szavazókör címe
k01;sz0294;374;210;48;84;734;1035;Váci u. 43. (Ének-zenei  Ált. Iskola)
k01;sz0295;337;177;39;73;639;874;Reáltanoda u. 7. (Eötvös József Gimnázium)
k01;sz0296;337;198;49;53;645;950;Vármegye u. 9. (Szabolcsi B. Zeneiskola)
k01;sz0297;1412;948;264;491;3174;3715;Erzsébet tér 4. (Polgármesteri Hiv.)
k01;sz0298;307;239;39;85;681;974;Sütõ u. 1. (Evangélikus Gimnázium)
k01;sz0299;208;138;30;47;433;601;Sütõ u. 1. (Evangélikus Gimnázium)
k01;sz0300;174;145;27;37;399;615;Erzsébet tér 5. (Polgármesteri Hiv.(ÜSZI))
k01;sz0301;333;251;40;113;751;1037;Nádor u. 12. (Hild József Ált. Iskola)
k01;sz0302;348;236;74;74;743;1041;Nádor u. 12. (Hild József Ált. Iskola)
k01;sz0303;328;238;63;81;721;1029;Vadász u. 11-13. (Idõsek klubja)
k01;sz0304;332;191;60;90;693;983;Vadász u. 11-13. (Idõsek klubja)
k01;sz0305;316;225;43;45;640;886;Szemere u. 3. (Szt.István Ált.iskola)
k01;sz0306;326;259;16;87;698;946;Szemere u. 5. (Szemere B. Ált. Isk.)
k01;sz0307;341;268;38;78;737;952;Szemere u. 3. (Szt.István Ált.iskola)
k01;sz0308;305;290;40;104;751;979;Falk Miksa u. 28. (Idõsek  klubja)
k01;sz0309;299;334;40;70;756;1074;Falk Miksa u. 28. (Idõsek  klubja)
k01;sz0310;394;245;46;93;784;1065;Markó u. 18-20. (Xantus János SZKI.)
k05;sz0311;246;254;50;73;641;990;Bp.VI. Bajcsy-Zs. út 33. Orvosi Rendelõ
k05;sz0312;233;207;48;71;567;888;Bp.VI. Podmaniczky utca 8. Diákotthon
k05;sz0313;149;154;61;44;416;650;Bp. VI. Podmaniczky utca 8. Diákotthon
k05;sz0314;220;220;35;56;544;858; Bp. VI. Lovag utca 9-11. Iskola
k05;sz0315;286;273;53;64;682;1035;Bp. VI. Lovag utca 9-11. Iskola
k05;sz0316;157;234;39;63;499;803;Bp. VI. Lovag u. 9-11. Iskola
k05;sz0317;178;175;49;42;454;703;Pethõ S.u.4. Általános Iskola
k05;sz0318;294;299;58;99;762;1185;Pethõ S. utca 4. Általános Iskola
k05;sz0319;161;172;24;34;397;664;Pethõ S.u.4. Általános Iskola
k05;sz0320;231;208;56;68;574;872;Szondi utca 11. Orvosi Rendelõ
k05;sz0321;188;231;62;60;551;824;Vörösmarty utca 49-51. Általános Iskola
k05;sz0322;197;170;58;51;490;831;Vörösmarty utca 49-51. Általános Iskola
k05;sz0323;260;304;96;91;781;1334;Vörösmarty utca 49-51. Általános Iskola
k05;sz0324;180;190;49;49;476;766;Rózsa u. 81-83. Vagyonkezelõ Zrt.
k05;sz0325;239;237;55;105;646;1003;Szinyei M. u. 7-9. Gimnázium
k05;sz0326;253;236;79;80;660;1159;Vörösmarty u. 49-51. Általános Iskola
k05;sz0327;221;215;75;81;608;982;Szondi u.41. Kereskedelmi Szakközépiskola
k05;sz0328;214;160;60;71;516;853;Szondi u. 41. Kereskedelmi Szakközépiskola
k05;sz0329;233;175;59;69;548;870;Szondi u. 41. Kereskedelmi Szakközépiskola
k05;sz0330;216;214;60;78;582;897;Szinyei M. utca 7-9. Gimnázium
k05;sz0331;266;238;52;65;632;970;Szinyei M.u.7-9. Gimnázium
k05;sz0332;300;282;91;93;778;1249;Munkácsy u. 22-26. Kölcsey Gimnázium
k05;sz0333;217;220;53;74;578;851;Munkácsy u. 22-26. Kölcsey Gimnázium
k05;sz0334;248;219;51;58;584;942;Munkácsy M. u. 22-26. Kölcsey Gimnázium
k05;sz0335;198;205;44;52;503;764;Liszt F. tér 6. Ifjusági Könyvtár
k05;sz0336;177;201;37;55;477;850;Eötvös utca 4. ÜSZI
k05;sz0337;254;247;80;86;676;1040;Szív utca 19-21. Általános Iskola
k05;sz0338;196;231;51;55;544;844;Szív utca 19-21. Általános Iskola
k05;sz0339;277;317;61;109;779;1156;Felsõ erdõsor 20. Erkel Ferenc Általános Iskola
k05;sz0340;163;233;33;70;508;669;Benczúr utca 35/c Idõsek Otthona
k05;sz0341;212;282;33;52;587;863;Dob utca 23. (Bölcsõde)
k05;sz0342;162;198;53;67;495;911;Dob utca 23. (Bölcsõde)
k05;sz0343;190;221;73;75;574;997;Kertész utca 30. (Iskola)
k05;sz0344;182;207;56;60;515;907;Kertész utca 30. (Iskola)
k05;sz0345;225;366;84;83;772;1165;Wesselényi utca 38. (Szakközépiskola)
k05;sz0346;299;295;65;89;761;1158;Wesselényi utca 17. (ERöMÛVHÁZ)
k05;sz0347;288;263;61;98;725;1185;Wesselényi utca 17. (ERöMÛVHÁZ)
k05;sz0348;238;282;65;76;678;1054;Wesselényi utca 38.(Szakközépiskola)
k05;sz0349;222;258;74;63;636;1063;Kertész utca 30.(Iskola)
k05;sz0350;147;129;35;39;364;759;Kertész utca 20.(Gyermekjóléti Központ)
k05;sz0351;1062;893;270;408;2710;3110;Erzsébet körút 6. (Polgármesteri Hivatal)
k05;sz0352;264;295;57;64;689;1140;Dob utca 85. (Iskola)
k05;sz0353;192;228;61;86;586;1063;Rózsa utca 32. (Csicsergõ óvoda)
k05;sz0354;258;339;88;110;806;1247;Király utca 97.(Nyugdíjasklub)
k05;sz0355;235;257;71;72;648;1075;Dob utca 85.(Iskola)
k05;sz0356;270;309;69;91;750;1226;Rózsa utca 32. (Csicsergõ Óvoda)
k05;sz0357;297;260;82;93;740;1143;Király utca 97. (Nyugdíjasklub)
k05;sz0358;247;252;73;84;674;1073;Barcsay utca 5. (Madách Gimnázium)
k05;sz0359;252;263;74;68;672;1083;Barcsay utca 5. (Madách Gimnázium)
k05;sz0360;233;246;69;69;630;1052;Rózsa utca 3. (Sportklub)
k05;sz0361;280;292;76;85;747;1121;Alsó erdõsor 14-16. (Általános Iskola)
k05;sz0362;267;232;73;69;657;1008; Alsó erdõsor 14-16. (Általános iskola)
k05;sz0363;295;245;87;76;714;1146;Rózsák tere 6-7. (Brunszvik Óvoda)
k05;sz0364;329;300;58;89;794;1175;Városligeti fasor 39-41. (Magonc Óvoda)
k05;sz0365;310;334;74;97;837;1271;Városligeti fasor 39-41. (Magonc Óvoda)
k05;sz0366;294;224;92;88;715;1174;Hernád utca 42. (Baross Általános Iskola)
k05;sz0367;257;241;84;81;680;1066;Nefelejcs utca 62. (Nefelejcs Óvoda)
k05;sz0368;277;275;65;87;720;1120;Peterdy utca 16. (Nyugdíjasház)
k05;sz0369;240;279;81;87;708;1155;Nefelejcs utca 62. (Nefelejcs Óvoda)
k05;sz0370;237;263;98;81;699;1201;Bethlen Gábor tér 2. (Iskola)
k05;sz0371;263;276;62;87;702;1205;Hernád utca 42. (Baross Általános Iskola)
k05;sz0372;251;231;112;64;672;1197;Bethlen Gábor tér 2. (Iskola)
k05;sz0373;286;282;86;103;772;1243;Hernád utca 42. (Baross Általános Iskola)
k05;sz0374;267;265;80;74;700;1211;István utca 37. (Kópévár Óvoda)
k05;sz0375;280;269;93;78;726;1183;István utca 37. (Kópévár Óvoda)
k05;sz0376;258;214;93;58;630;1039;Garay utca 5. (Polgármesteri Hivatal)
k05;sz0377;235;237;70;74;624;1056;Garay utca 5. (Polgármesteri Hivatal)
k05;sz0378;230;233;85;57;620;1116;Százház utca 10-18. (Közterületfelügyelet)
k01;sz0379;281;203;52;89;640;902;Horánszky u. 13. (H13 Diák és Vállfejl. Közp.)
k01;sz0380;223;191;60;75;570;839;Horánszky u. 13. (H13 Diák és Vállfejl. Közp.)
k01;sz0381;249;169;43;76;545;797;Horánszky u. 13. (H13 Diák és Vállfejl. Közp.)
k01;sz0382;184;150;43;84;474;708;Horánszky u. 13. (H13 Diák és Vállfejl. Közp.)
k01;sz0383;246;212;36;98;605;899;József krt. 63. (Apáczai Kiadó)
k01;sz0384;206;161;32;69;478;744;József krt. 63. (Apáczai Kiadó)
k06;sz0385;288;288;70;70;738;1121;Práter u. 11. (Szt. Benedek Gim. SzkI. és Koll.)
k06;sz0386;198;213;54;38;525;837;Német u. 14. (Németh László Ált. Isk.)
k01;sz0387;320;211;57;99;701;1023;Somogyi B. u. 9-15. (Molnár Ferenc Ált. Isk.)
k01;sz0388;231;204;44;73;572;813;Horánszky u. 13. (H13 Diák és Vállfejl. Közp.)
k01;sz0389;317;267;87;85;767;1163;Somogyi B. u. 9-15 (Molnár Ferenc Ált. Isk.)
k06;sz0390;172;165;48;58;471;821;Tolnai L. u. 11-15. (JEGYMI Ált. Isk. )
k06;sz0391;198;228;67;74;596;1073;Mátyás tér 15. (Kesztyûgyár )
k06;sz0392;251;179;63;55;570;966;Német u. 14.  (Németh László Ált. Isk. )
k06;sz0393;192;153;61;49;474;994;Práter u. 11. (Szt. Benedek Gim. SzkI. és Koll.)
k06;sz0394;279;209;55;56;621;994;Práter u. 11. (Szt. Benedek Gim. SzkI. és Koll.)
k06;sz0395;243;276;73;66;683;1051;Práter u. 11. (Szt. Benedek Gim. SzkI. és Koll.)
k06;sz0396;187;184;69;58;520;827;Práter u. 11. (Szt. Benedek Gim. SzkI. és Koll.)
k06;sz0397;199;154;63;49;492;952;Szûz u. 2. (Százszorszép Óvoda )
k06;sz0398;221;171;67;45;534;1102;Szûz u. 2. (Százszorszép Óvoda)
k06;sz0399;171;201;69;46;508;991;Mátyás tér 15. (Kesztyûgyár )
k06;sz0400;156;155;48;48;429;829;Tolnai L. u. 11-15. (JEGYMI Ált. isk. )
k06;sz0401;145;141;46;34;391;731;Tolnai L. u. 11-15. (JEGYMI Ált. isk. )
k06;sz0402;235;164;75;53;548;992;Tolnai L. u. 11-15. (JEGYMI Ált. isk. )
k06;sz0403;189;199;60;52;515;847;Tolnai L. u. 11-15. (JEGYMI Ált. isk. )
k06;sz0404;196;191;57;36;494;854;Bezerédi u. 3-5. (FKI KpKK Kiképzõ Bázisa)
k06;sz0405;186;166;77;44;499;912;Mátyás tér 15. (Kesztyûgyár )
k06;sz0406;147;153;53;33;407;734;Mátyás tér 15. (Kesztyûgyár)
k06;sz0407;168;163;64;23;439;940;Koszorú u. 14-16. (Koszorú Napköziotthonos Óvoda)
k06;sz0408;181;152;78;31;474;1130;Dankó u. 31. (Napsugár Napköziotthonos Óvoda)
k06;sz0409;127;90;44;15;294;1022;Koszorú u. 14-16. (Koszorú Napköziotthonos Óvoda)
k06;sz0410;158;155;58;34;418;940;Csobánc u. 1. (Bókay J. Szakközépisk.)
k06;sz0411;168;112;44;26;360;649;Losonci tér 1. (Losonci téri Ált. Isk. )
k06;sz0412;189;145;57;45;461;784;Losonci tér 1. (Losonci téri Ált. Isk.)
k06;sz0413;162;125;80;20;418;843;Tömõ u. 38/A. (Szivárvány Tagóvoda )
k06;sz0414;198;193;61;46;512;779;Tömõ u. 38/A. (Szivárvány Tagóvoda )
k06;sz0415;87;66;51;19;234;578;Losonci tér 1. (Losonci téri Ált. Isk.)
k06;sz0416;197;198;61;34;509;811;Losonci tér 1. (Losonci téri Ált. Isk.)
k06;sz0417;194;174;75;40;493;787;Losonci tér 1. (Losonci téri Ált. Isk.)
k06;sz0418;150;209;56;43;474;779;Losonci tér 1. (Losonci téri Ált. Isk.)
k06;sz0419;222;214;57;31;542;883;Losonci tér 1. (Losonci téri Ált. Isk.)
k06;sz0420;120;94;47;50;324;650;Ludovika tér 1.(Raoul Wallenberg Szki. és Szkisk.)
k06;sz0421;77;83;46;16;236;624;Ludovika tér 1.(Raoul Wallenberg Szki. és Szkisk.)
k06;sz0422;209;195;86;38;547;1073;Csobánc u. 1. (Bókay J. Szakközépisk.)
k06;sz0423;118;124;48;19;322;855;Dankó u. 31. (Napsugár Napköziotthonos Óvoda)
k06;sz0424;152;126;50;40;391;735;II. János Pál pápa tér 17. (Ciklámen klub)
k06;sz0425;198;181;48;38;475;911;II. János Pál pápa tér 17. (Ciklámen klub)
k06;sz0426;120;142;44;36;358;637;Bezerédi u. 3-5. (FKI KpKK Kiképzõ Bázisa)
k06;sz0427;180;156;73;26;462;1062;Csobánc u. 1. (Bókay J. Szakközépisk.)
k06;sz0428;317;220;122;49;750;1326;Csobánc u. 1. (Bókay J. Szakközépisk.)
k06;sz0429;127;99;36;21;314;638;Ludovika tér 1.(Raoul Wallenberg Szki. és Szkisk.)
k06;sz0430;120;140;47;24;352;871;Vajda P. u. 25-31. (Vajda Péter Ált. Isk.)
k06;sz0431;229;215;88;35;590;1116;Ludovika tér 1.(Raoul Wallenberg Szki. és Szkisk.)
k06;sz0432;256;160;33;31;494;648;Elnök u. 3. (Mándy I. Szki. és Speciális Szkisk.)
k06;sz0433;318;209;79;52;674;1034;Vajda P. u. 25-31. (Vajda Péter Ált. Isk.)
k06;sz0434;195;107;74;32;432;795;Vajda P. u. 37. (Katica Bölcsöde és Óvoda)
k06;sz0435;156;290;88;78;639;1002;Százados út 14. (Pitypang Óvoda )
k06;sz0436;139;116;54;31;356;585;Százados út 14. (Pitypang Óvoda )
k06;sz0437;181;232;47;45;534;657;Százados út 14. (Pitypang Óvoda )
k06;sz0438;133;129;42;16;335;580;Százados út 14. (Pitypang Óvoda )
k06;sz0439;707;615;292;198;1914;2498;Ludovika tér 1.(Raoul Wallenberg Szki. és Szkisk.)
k06;sz0440;85;56;46;10;203;1297;Ludovika tér 1.(Raoul Wallenberg Szki. és Szkisk.)
k01;sz0441;200;135;45;58;450;693;Csarnok tér 3-4. (FEV IX ZRT.)
k01;sz0442;192;173;42;69;488;748;Lónyay u. 4-8. (ÁLTALÁNOS ISKOLA)
k01;sz0443;179;149;49;50;435;665;Ráday u. 26. (VVF IRODA)
k01;sz0444;248;165;41;66;529;794;Ráday u. 26. (VVF IRODA)
k01;sz0445;193;148;47;64;469;765;Lónyay u. 4-8. (ÁLTALÁNOS ISKOLA)
k01;sz0446;256;186;48;64;561;898;Bakáts tér 12. (ÁLTALÁNOS ISKOLA)
k01;sz0447;187;138;38;48;419;634;Bakáts tér 12. (ÁLTALÁNOS ISKOLA)
k01;sz0448;192;134;48;62;445;707;Üllõi út 45.
k01;sz0449;215;175;61;50;514;921;Bakáts tér 12. (ÁLTALÁNOS ISKOLA)
k01;sz0450;246;176;51;55;544;727;Közraktár utca 24. (ORVOSI RENDELÕ)
k01;sz0451;229;158;47;80;524;770;Üllõi út 45.
k01;sz0452;191;181;45;86;513;791;Liliom utca 15. (ÓVODA)
k01;sz0453;204;191;67;103;583;837;Liliom utca 15. (ÓVODA)
k01;sz0454;243;204;64;123;641;916;Viola utca 39. (NEMZETISÉGI ÖNKORMÁNYZAT)
k01;sz0455;162;143;59;85;463;691;Viola utca 39. (NEMZETISÉGI ÖNKORMÁNYZAT)
k01;sz0456;189;149;67;80;498;881;Tûzoltó u. 33/A (FERENCVÁROSI TANODA)
k01;sz0457;258;194;62;141;664;970;Dandár utca 28. (FESZGYI)
k01;sz0458;189;153;67;85;505;815;Tûzoltó u. 33/A (FERENCVÁROSI TANODA)
k06;sz0459;197;164;78;56;522;1068;Vendel u. 1. (LEÖVEY KLÁRA GIMNÁZIUM)
k06;sz0460;177;132;93;49;482;1003;Vendel u. 1. (LEÖVEY KLÁRA GIMNÁZIUM)
k06;sz0461;215;186;81;40;545;889;Lenhossék utca 24-28. (POLGÁRMESTERI HIVATAL)
k06;sz0462;226;192;48;59;540;920;Lenhossék utca 24-28. (POLGÁRMESTERI HIVATAL)
k06;sz0463;132;155;68;22;399;823;Haller utca 54. (FEV IX ZRT.)
k06;sz0464;170;136;62;32;413;644;Telepy u. 17. (ÁLTALÁNOS ISKOLA)
k06;sz0465;227;245;82;41;611;937;Telepy u. 17. (ÁLTALÁNOS ISKOLA)
k06;sz0466;180;190;66;40;496;777;Telepy u. 17. (ÁLTALÁNOS ISKOLA)
k06;sz0467;191;211;74;51;544;774;Telepy u. 17. (ÁLTALÁNOS ISKOLA)
k01;sz0468;226;177;65;43;527;773;Mester utca 19. (Molnár Ferenc Ált. Isk.)
k01;sz0469;216;225;45;100;598;865;Mester utca 19. (Molnár Ferenc Ált. Isk.)
k01;sz0470;225;221;52;112;624;910;Dandár utca 28. (FESZGYI)
k06;sz0471;188;148;51;39;442;802;Mester u. 45. (FESZ RENDELÕ)
k06;sz0472;154;113;67;48;408;703;Mester u. 67. (ÁLTALÁNOS ISKOLA)
k06;sz0473;226;162;93;42;539;873;Haller u. 27. (FMK)
k06;sz0474;143;193;67;41;467;751;Mester u. 45. (FESZ RENDELÕ)
k06;sz0475;192;252;59;35;560;785;Mester u. 67. (ÁLTALÁNOS ISKOLA)
k06;sz0476;247;206;75;32;618;1071;Mester u. 67. (ÁLTALÁNOS ISKOLA)
k06;sz0477;128;130;88;17;377;748;Gyáli út 22. (PUSKÁS TIVADAR TECHNIKUM)
k06;sz0478;164;115;59;30;382;732;Ecseri út 19. (IDÕSEK KLUBJA)
k06;sz0479;117;105;90;25;346;826;Ecseri út 19. (IDÕSEK KLUBJA)
k06;sz0480;105;96;54;8;312;948;Kén u. 1. (ÓVODA)
k06;sz0481;155;244;32;29;472;669;Ifjúmunkás u. 13. (ÁLTALÁNOS ISKOLA)
k06;sz0482;174;206;55;37;485;705;Dési Huber utca 9. (MANÓ-LAK BÖLCSÕDE)
k06;sz0483;155;221;37;42;472;648;Ifjúmunkás u. 13. (ÁLTALÁNOS ISKOLA)
k06;sz0484;164;214;56;36;481;674;Ifjúmunkás u. 13. (ÁLTALÁNOS ISKOLA)
k06;sz0485;204;238;75;36;575;892;Ifjúmunkás u. 13. (ÁLTALÁNOS ISKOLA)
k06;sz0486;176;234;60;32;517;790;Ifjúmunkás u. 31. (SZAKKÖZÉPISKOLA)
k06;sz0487;171;213;51;32;486;711;Ifjúmunkás u. 31. (SZAKKÖZÉPISKOLA)
k06;sz0488;180;200;59;46;500;713;Ifjúmunkás u. 1. (ÁLTALÁNOS ISKOLA)
k06;sz0489;205;312;61;49;646;932;Ifjúmunkás u. 1. (ÁLTALÁNOS ISKOLA)
k06;sz0490;241;264;61;38;629;875;Toronyház utca 21. (ÁLTALÁNOS ISKOLA)
k06;sz0491;194;222;69;49;555;834;Toronyház utca 21. (ÁLTALÁNOS ISKOLA)
k06;sz0492;189;231;64;40;548;823;Toronyház utca 21. (ÁLTALÁNOS ISKOLA)
k06;sz0493;199;232;74;45;567;790;Toronyház utca 21. (ÁLTALÁNOS ISKOLA)
k09;sz0494;114;253;46;39;473;642;Hungária krt. 5-7. (Ált. Isk.)
k09;sz0495;101;271;58;45;495;664;Hungária krt. 5-7. (Ált. Isk.)
k09;sz0496;137;112;42;21;327;795;MÁV telep 38. (Ált. Isk.)
k09;sz0497;125;88;59;26;322;620;Salgótarjáni út 53/B. (Szakközép Isk.)
k09;sz0498;138;92;50;25;321;635;Salgótarjáni út 53/B. (Szakközép Isk.)
k09;sz0499;153;115;68;16;372;661;Kõbányai út 38. (Ált. Isk.)
k09;sz0500;183;136;59;23;413;638;Kõbányai út 38. (Ált. Isk.)
k09;sz0501;144;128;50;27;364;650;Kõbányai út 38. (Ált. Isk.)
k09;sz0502;227;162;68;54;532;888;Bihari út 15. (Vöröskereszt)
k09;sz0503;129;180;49;24;394;643;Üllõi út 118. (Ált. Isk.)
k09;sz0504;164;227;62;36;506;741;Üllõi út 118. (Ált. Isk.)
k09;sz0505;180;233;54;31;519;733;Zágrábi u. 13/A (Óvoda)
k09;sz0506;197;162;66;41;478;753;Üllõi út 128. (Felnõtt-orvosi Rendelõ)
k09;sz0507;138;165;33;30;378;696;Üllõi út 118. (Ált. Isk.)
k09;sz0508;177;133;57;30;418;780;Szent László tér 1. (Ált. Isk.)
k09;sz0509;194;197;71;43;527;798;Szent László tér 1. (Ált. Isk.)
k09;sz0510;201;219;68;42;554;807;Szent László tér 1. (Ált. Isk.)
k09;sz0511;166;160;64;16;424;778;Szent László tér 1. (Ált. Isk.)
k09;sz0512;689;580;281;143;1764;2135;Szent László tér 1. (Ált. Isk.)
k09;sz0513;212;141;67;29;474;888;Szent László tér 1. (Ált. Isk.)
k09;sz0514;219;182;106;37;571;968;Kõrösi Csoma Sándor út 28. (Szt. László Gimn.)
k09;sz0515;243;232;57;24;583;847;Elõd u. 1. (Köszi)
k09;sz0516;208;190;85;46;552;822;Elõd u. 1. (Köszi)
k09;sz0517;186;195;50;42;492;809;Kõrösi Csoma Sándor út 28. (Szt. László Gimn.)
k09;sz0518;120;193;56;44;431;637;Keresztúri út 7-9. (Ált. Isk.)
k09;sz0519;161;217;39;27;470;669;Keresztúri út 7-9. (Ált. Isk.)
k09;sz0520;181;224;51;36;519;854;Keresztúri út 7-9. (Ált. Isk.)
k09;sz0521;167;191;52;54;497;792;Keresztúri út 7-9. (Ált. Isk.)
k09;sz0522;184;228;66;44;550;831;Keresztúri út 7-9. (Ált. Isk.)
k09;sz0523;174;168;60;15;433;708;Keresztúri út 7-9. (Ált. Isk.)
k09;sz0524;232;238;59;49;594;822;Keresztúri út 7-9. (Ált. Isk.)
k09;sz0525;303;220;57;52;651;859;Keresztúri út 7-9. (Ált. Isk.)
k09;sz0526;165;163;65;28;450;818;Vaspálya u. 8-10. (Rece-Fice Óvoda)
k09;sz0527;186;157;80;24;469;835;Szent László tér 7-14. (Kõrösi Kultúrális Központ)
k09;sz0528;105;101;59;12;298;648;Szent László tér 7-14. (Kõrösi Kulturális Központ)
k09;sz0529;231;167;71;33;525;817;Vaspálya u. 8-10. (Rece-Fice Óvoda)
k09;sz0530;237;177;79;37;556;898;Martinovics tér 12. (Tûzoltóság)
k09;sz0531;235;186;49;33;522;788;Vaspálya u. 8-10. (Rece-Fice Óvoda)
k09;sz0532;139;141;31;28;351;629;Elõd u.1. (Köszi)
k09;sz0533;152;137;58;29;402;705;Elõd u.1. (Köszi)
k09;sz0534;202;190;52;24;481;637;Mádi utca 94. (Óvoda)
k09;sz0535;201;188;96;20;530;750;Mádi utca 94. (Óvoda)
k09;sz0536;173;151;65;32;440;685;Harmat u. 88. (Ált. Isk.)
k09;sz0537;157;186;56;31;453;680;Harmat u. 88. (Ált. Isk.)
k09;sz0538;177;186;32;25;443;610;Harmat u. 88. (Ált. Isk.)
k09;sz0539;185;111;49;25;389;611;Kada u. 27-29. (Ált. Isk.)
k09;sz0540;178;114;47;27;379;694;Kada u. 27-29. (Ált. Isk.)
k09;sz0541;197;104;43;28;391;762;Kada u. 27-29. (Ált. Isk.)
k09;sz0542;147;117;69;28;367;737;Kada u. 27-29. (Ált. Isk.)
k09;sz0543;173;101;69;31;389;773;Maglódi út 8. (Óvoda)
k09;sz0544;146;192;71;49;482;681;Kada u. 27-29. (Ált. Isk.)
k09;sz0545;158;177;78;36;464;670;Harmat u. 88. (Ált. Isk.)
k09;sz0546;201;198;64;39;525;699;Harmat u. 88. (Ált. Isk.)
k09;sz0547;216;210;70;29;550;723;Harmat u. 88. (Ált. Isk.)
k09;sz0548;189;182;61;28;479;730;Harmat u. 88. (Ált. Isk.)
k09;sz0549;212;167;80;30;516;881;Mádi u. 173. (Zrínyi Miklós Gimnázium)
k09;sz0550;176;199;55;28;491;843;Mádi u. 173. (Zrínyi Miklós Gimnázium)
k09;sz0551;172;177;50;17;433;697;Mádi u. 173. (Zrínyi Miklós Gimnázium)
k09;sz0552;155;141;52;12;384;648;Újhegyi sétány 1-3. (Ált. Isk.)
k09;sz0553;174;139;82;29;440;766;Újhegyi sétány 1-3. (Ált. Isk.)
k09;sz0554;206;244;68;38;579;834;Újhegyi sétány 1-3. (Ált. Isk.)
k09;sz0555;214;141;78;77;525;809;Újhegyi sétány 1-3. (Ált. Isk.)
k09;sz0556;228;177;73;38;537;856;Harmat u. 196-198. (Ált. Isk.)
k09;sz0557;190;197;79;31;513;799;Harmat u. 196-198. (Ált. Isk.)
k09;sz0558;176;185;61;20;461;778;Újhegyi sétány 1-3. (Ált. Isk.)
k09;sz0559;183;203;69;35;498;846;Újhegyi sétány 1-3. (Ált. Isk.)
k09;sz0560;162;189;69;30;466;822;Újhegyi sétány 1-3. (Ált. Isk.)
k09;sz0561;170;175;69;37;469;688;Mádi u. 173. (Zrínyi Miklós Gimnázium)
k09;sz0562;164;179;89;22;473;752;Harmat u. 196-198. (Ált. Isk.)
k14;sz0563;193;212;117;34;588;983;Harmat u. 196-198. (Ált. Isk.)
k14;sz0564;210;213;111;43;601;933;Harmat u. 196-198. (Ált. Isk.)
k14;sz0565;200;186;84;29;524;926;Harmat u. 196-198. (Ált. Isk.)
k14;sz0566;178;216;77;23;521;889;Mádi u. 173. (Zrínyi Miklós Gimnázium)
k14;sz0567;189;207;95;32;555;877;Harmat u. 196-198. (Ált. Isk.)
k14;sz0568;154;160;73;35;457;634;Jászberényi út 89. (Ált. Isk.)
k14;sz0569;161;197;68;49;506;710;Jászberényi út 89. (Ált. Isk.)
k02;sz0570;330;191;37;66;636;849;Bartók Béla út 27. (Ált.Isk.)
k02;sz0571;324;278;31;70;718;897;Köbölkút utca 27-29. (Ált.Isk.)
k02;sz0572;335;207;34;55;653;789;Köbölkút utca 27-29. (Ált.Isk.)
k02;sz0573;294;225;29;67;631;831;Köbölkút utca 27-29. (Ált.Isk.)
k02;sz0574;352;217;28;57;668;864;Köbölkút utca 27-29. (Ált.Isk.)
k02;sz0575;383;174;53;60;686;917;Bartók Béla út 27. (Ált.Isk.)
k02;sz0576;284;197;35;63;591;814;Bartók Béla út 27. (Ált.Isk.)
k02;sz0577;341;143;46;47;595;763;Bartók Béla út 27. (Ált.Isk.)
k02;sz0578;291;203;61;56;624;852;Bartók Béla út 27. (Ált.Isk.)
k02;sz0579;294;164;56;56;581;784;Egry József utca 3-11. (Ált.Isk.)
k02;sz0580;284;246;45;65;659;893;Egry József utca 3-11. (Ált.Isk.)
k02;sz0581;315;213;52;74;674;936;Egry József utca 3-11. (Ált.Isk.)
k02;sz0582;316;199;40;49;618;813;Egry József utca 3-11. (Ált.Isk.)
k02;sz0583;219;178;54;49;515;766;Egry József utca 3-11. (Ált.Isk.)
k02;sz0584;284;184;45;39;574;739;Egry József utca 3-11. (Ált.Isk.)
k02;sz0585;242;265;40;56;622;854;Bogdánfy utca 5/B. (Ált.Isk.)
k02;sz0586;253;255;56;44;620;841;Bogdánfy utca 5/B. (Ált.Isk.)
k02;sz0587;204;237;48;60;580;803;Baranyai utca 16-18. (Ált.Isk.)
k02;sz0588;233;278;52;84;675;957;Baranyai utca 16-18. (Ált.Isk.)
k02;sz0589;230;253;42;50;590;846;Baranyai utca 16-18. (Ált.Isk.)
k02;sz0590;250;256;55;52;635;863;Váli utca 1. (Gimnázium)
k02;sz0591;272;261;65;57;670;890;Váli utca 1. (Gimnázium)
k02;sz0592;311;157;33;49;562;731;Váli utca 1. (Gimnázium)
k02;sz0593;332;231;42;54;679;862;Váli utca 1. (Gimnázium)
k02;sz0594;325;156;44;43;581;798;Váli utca 1. (Gimnázium)
k02;sz0595;309;214;23;66;625;834;Baranyai utca 16-18. (Ált.Isk.)
k02;sz0596;312;215;57;81;683;912;Baranyai utca 16-18. (Ált.Isk.)
k02;sz0597;256;224;45;64;600;827;Baranyai utca 16-18. (Ált.Isk.)
k02;sz0598;300;222;48;67;656;907;Bocskai út 47-49. (Ált.Isk.)
k02;sz0599;334;229;54;60;685;926;Bocskai út 47-49. (Ált.Isk.)
k02;sz0600;320;213;58;51;660;914;Aga utca 10. (Ált.Isk.)
k02;sz0601;271;241;41;52;620;842;Aga utca 10. (Ált.Isk.)
k02;sz0602;284;257;50;51;661;891;Bocskai út 47-49. (Ált.Isk.)
k02;sz0603;1050;708;158;254;2340;2750;Bocskai út 47-49. (Ált.Isk.)
k02;sz0604;250;164;43;53;526;812;Bocskai út 47-49. (Ált.Isk.)
