választókerület;szavazókör;Fidesz-KDNP;Összefogás;Jobbik;LMP;megjelent;összes választó;Szavazókör címe
k03;sz0070;458;380;75;96;1035;1427;Labanc u. 2. (Óvoda)
k03;sz0071;376;206;37;53;688;832;Budenz út 20-22. (Budenz J. Ált.Isk. és Gimn.)
k03;sz0072;260;189;37;58;560;731;Budenz út 20-22. (Budenz J. Ált.Isk. és Gimn.)
k03;sz0073;328;201;37;44;627;772;Budenz út 20-22. (Budenz J. Ált.Isk. és Gimn.)
k03;sz0074;463;330;49;94;959;1295;Budenz út 20-22. (Budenz J. Ált.Isk. és Gimn.)
k03;sz0075;325;257;31;89;719;927;Pasaréti út 41. (Bölcsõde)
k03;sz0076;287;228;42;53;634;855;Érmelléki út 12. (Óvoda)
k03;sz0077;252;251;38;59;619;785;Érmelléki út 12. (Óvoda)
k03;sz0078;298;270;46;63;694;993;Marczibányi tér 1. (Kodály Z. Ált. Isk. és Gimn.)
k03;sz0079;207;233;32;56;551;759;Marczibányi tér 1. (Kodály Z. Ált. Isk. és Gimn.)
k03;sz0080;264;315;50;76;716;970;Marczibányi tér 1. (Kodály Z. Ált. Isk. és Gimn.)
k03;sz0081;303;275;34;98;726;927;Keleti K. u. 37. (II. Rákóczi F. Gimn.)
k03;sz0082;188;193;38;54;486;702;Keleti K. u. 37. (II. Rákóczi F. Gimn.)
k03;sz0083;273;241;29;74;638;860;Keleti K. u. 37. (II. Rákóczi F. Gimn.)
k03;sz0084;294;253;39;72;673;895;Ady E. u. 3. (Szt. Angéla Ált. Isk. és Gimn.)
k03;sz0085;321;226;40;84;683;934;Ady E. u. 3. (Szt. Angéla Ált. Isk. és Gimn.)
k03;sz0086;356;239;53;83;763;1113;Bem J. tér 2. (Gondozási Központ)
k03;sz0087;303;197;37;52;610;873;Medve u. 5-7. (Csik F. Ált. Isk. és Gimn.)
k03;sz0088;289;249;47;54;654;909;Medve u. 5-7. (Csik F. Ált. Isk. és Gimn.)
k03;sz0089;340;213;47;70;695;993;Ady E. u. 3. (Szt. Angéla Ált. Isk. és Gimn.)
k03;sz0090;288;217;47;76;650;873;Kapás u. 55. (Budai Táncklub)
k03;sz0091;304;278;47;51;704;950;Medve u. 5-7. (Csik F. Ált. Isk. és Gimn.)
k03;sz0092;335;270;60;73;762;1061;Varsányi I. u. 32. (Bölcsõde)
k03;sz0093;354;282;38;89;785;1046;Varsányi I. u. 32. (Bölcsõde)
k04;sz0094;279;243;44;61;650;878;Árpád fejedelem útja 60. (Óvoda)
k04;sz0095;240;238;41;46;580;818;Árpád fejedelem útja 60. (Óvoda)
k04;sz0096;230;275;45;60;623;873;Mókus utca 2. (Általános Iskola)
k04;sz0097;267;206;74;71;634;922;Nagyszombat utca 19. (Árpád Gimnázium)
k04;sz0098;223;198;61;65;561;863;Nagyszombat utca 19. (Árpád Gimnázium)
k04;sz0099;317;220;55;87;691;914;Nagyszombat utca 19. (Árpád Gimnázium)
k04;sz0100;253;267;75;42;649;906;Kiscelli utca 78-80. (Óbudai Egyetem)
k04;sz0101;196;214;54;63;536;798;Kiscelli utca 78-80. (Óbudai Egyetem)
k04;sz0102;246;253;48;48;604;826;Kiscelli utca 78-80. (Óbudai Egyetem)
k04;sz0103;303;258;35;61;670;869;Nagyszombat utca 19. (Árpád Gimnázium)
k04;sz0104;299;291;57;72;729;970;Bécsi út 96/B. (Óbudai Egyetem)
k04;sz0105;396;259;45;55;762;993;Bécsi út 96/B. (Óbudai Egyetem)
k04;sz0106;311;309;43;64;734;939;Bécsi út 96/B. (Óbudai Egyetem)
k04;sz0107;285;281;40;73;696;907;Erdõalja út 5. (Általános Iskola)
k04;sz0108;271;235;44;47;610;793;Erdõalja út 5. (Általános Iskola)
k04;sz0109;299;234;44;46;639;776;Erdõalja út 5. (Általános Iskola)
k04;sz0110;298;260;52;50;673;819;Erdõalja út 5. (Általános Iskola)
k04;sz0111;326;246;65;51;704;922;Bécsi út 375. (Általános Iskola)
k04;sz0112;335;257;62;83;746;979;Bécsi út 375. (Általános Iskola)
k04;sz0113;312;221;89;58;695;951;Bécsi út 375. (Általános Iskola)
k04;sz0114;263;176;53;48;553;754;Bécsi út 375. (Általános Iskola)
k04;sz0115;297;197;58;39;602;839;Bécsi út 375. (Általános Iskola)
k04;sz0116;262;248;35;73;630;807;Ürömi út 2. (Óvoda)
k04;sz0117;258;226;64;65;622;811;Ürömi út 2. (Óvoda)
k04;sz0118;214;208;73;38;548;775;Ürömi út 2. (Óvoda)
k04;sz0119;256;214;40;67;591;774;Dózsa György utca 42. (Általános Iskola)
k04;sz0120;284;244;52;45;636;866;Dózsa György utca 42. (Általános Iskola)
k04;sz0121;271;192;80;47;602;821;Dózsa György utca 42. (Általános Iskola)
k04;sz0122;334;195;62;40;645;888;Templom utca 5. (Általános Iskola)
k04;sz0123;263;245;74;42;635;853;Templom utca 5. (Általános Iskola)
k10;sz0124;207;206;75;49;565;872;Mókus utca 2. (Általános Iskola)
k10;sz0125;246;301;69;52;692;951;Mókus utca 2. (Általános Iskola)
k10;sz0126;207;238;63;40;586;864;Mókus utca 2. (Általános Iskola)
k10;sz0127;181;249;74;53;589;827;Zápor utca 90. (Általános Iskola)
k10;sz0128;202;245;52;42;564;816;Zápor utca 90. (Általános Iskola)
